name,city,price,checkin,checkout,rating,plan,star_rating,check_in,check_out,rooms,restaurants,bars
Playa Pesquero,Playa Pesquero,1309,"Check-in: Mar 21, 2025","Check-out: Mar 28, 2025",4.5,All Inclusive,8,4:00 p.m.,11:00 a.m.,944.0,12.0,7.0
Gran Muthu Almirante Beach,Guardalavaca,1409,"Check-in: Mar 21, 2025","Check-out: Mar 28, 2025",4.5,All Inclusive,9,4:00 p.m.,11:00 a.m.,514.0,7.0,10.0
Paradisus Rio De Oro Resort & Spa,Playa Esmeralda,1719,"Check-in: Mar 21, 2025","Check-out: Mar 28, 2025",4.5,All Inclusive,0,4:00 p.m.,12:00 p.m.,354.0,8.0,6.0
Bequia Plantation Hotel,Bequia Island,1999,"Check-in: Mar 27, 2025","Check-out: Apr 2, 2025",4.5,European,8,3:00 p.m.,11:00 a.m.,22.0,1.0,1.0
Hampton By Hilton Grand Cayman,Seven Mile Beach,1689,"Check-in: Mar 27, 2025","Check-out: Mar 30, 2025",4.5,European,6,3:00 p.m.,11:00 a.m.,120.0,1.0,1.0
Sonesta Los Angeles Airport Lax,Los Angeles Airport,774,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,European,6,4:00 p.m.,11:00 a.m.,613.0,3.0,2.0
Sonesta Select Los Angeles Lax El Segundo,El Segundo,781,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,European,6,,,,,
Sonesta Anaheim Resort Area,Orange County,790,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",3.5,European,6,4:00 p.m.,11:00 a.m.,264.0,1.0,1.0
Peacock Suites,"Anaheim, California",903,"Check-in: Mar 31, 2025","Check-out: Apr 5, 2025",4.0,European,8,4:00 p.m.,10:00 a.m.,137.0,0.0,0.0
Sonesta Es Suites Anaheim Resort Area,Orange County,905,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,European,6,,,,,
Best Western Plus Stovall's Inn,Anaheim,973,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,European,6,4:00 p.m.,11:00 a.m.,289.0,1.0,0.0
Sonesta Es Suites Huntington Beach Fountain Valley,Orange County,997,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",3.5,European,6,,,,,
Hotel Angeleno,Brentwood Heights,1128,"Check-in: Mar 28, 2025","Check-out: Apr 2, 2025",4.0,European,8,3:00 p.m.,11:00 a.m.,210.0,2.0,1.0
The Anaheim Hotel,Anaheim,1157,"Check-in: Mar 28, 2025","Check-out: Apr 2, 2025",4.5,European,8,4:00 p.m.,11:00 a.m.,306.0,1.0,2.0
Hampton Inn & Suites By Hilton Anaheim Resort Convention Center,Anaheim,1168,"Check-in: Mar 28, 2025","Check-out: Apr 2, 2025",4.5,European,6,4:00 p.m.,11:00 a.m.,176.0,1.0,0.0
Desert Palms Hotel & Suites Anaheim Resort,Anaheim,1191,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,European,6,,,,,
The Portofino Hotel & Marina,Redondo Beach,1198,"Check-in: Mar 28, 2025","Check-out: Apr 2, 2025",4.0,European,8,4:00 p.m.,12:00 p.m.,161.0,3.0,2.0
Hotel Ziggy,West Hollywood,1201,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.5,European,6,3:00 p.m.,12:00 p.m.,108.0,1.0,1.0
Montrose At Beverly Hills,"West Hollywood, California",1315,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.5,European,8,3:00 p.m.,12:00 p.m.,133.0,2.0,1.0
The Westin Anaheim Resort,Anaheim Resort District,1331,"Check-in: Mar 28, 2025","Check-out: Apr 2, 2025",5.0,European,8,3:00 p.m.,11:00 a.m.,618.0,7.0,3.0
Mondrian Los Angeles,West Hollywood,1427,"Check-in: Mar 29, 2025","Check-out: Apr 3, 2025",4.0,European,8,3:00 p.m.,12:00 p.m.,236.0,1.0,1.0
Le Parc At Melrose,West Hollywood,1452,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.5,European,6,3:00 p.m.,12:00 p.m.,154.0,1.0,1.0
Chamberlain West Hollywood,Sunset Strip,1532,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.5,European,8,3:00 p.m.,12:00 p.m.,115.0,1.0,0.0
Sonesta Es Suites San Diego Rancho Bernardo,,1038,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.5,European,6,,,,,
Wyndham Oceanside Pier Resort,Oceanside City Beach,1678,"Check-in: Mar 29, 2025","Check-out: Apr 3, 2025",,European,8,4:00 p.m.,10:00 a.m.,157.0,2.0,1.0
Fairmont Grand Del Mar Hotel,Carmel Valley,1904,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.5,European,0,4:00 p.m.,12:00 p.m.,249.0,6.0,4.0
Sonesta Es Suites Orlando International Drive,Orlando,635,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.5,European,8,,,,,
Holiday Inn Resort Orlando Lake Buena Vista,Lake Bryan,702,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,European,7,4:00 p.m.,11:00 a.m.,496.0,1.0,1.0
Melia Orlando Celebration,Celebration,716,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,European,8,4:00 p.m.,11:00 a.m.,269.0,1.0,1.0
